Label,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,ASM0,ASM45,ASM90,ASM135
corrosion,4.81197917,5.67391003,4.34676777,5.14142253,1.27610294,1.42323722,1.22510723,1.34900423,0.60151173,0.57029272,0.60484128,0.58075679,0.16480439,0.15770116,0.16501529,0.15893335,0.9078835,0.89127001,0.91668167,0.90147108,0.02716049,0.02486966,0.02723005,0.02525981
corrosion,0.3696538,0.83420223,0.81328125,0.88735102,0.21441483,0.4139331,0.40654105,0.43078816,0.90578463,0.82911,0.83164817,0.82339229,0.4563087,0.42655166,0.42746694,0.42463499,0.98219683,0.95947838,0.96052152,0.95697102,0.20821763,0.18194632,0.18272799,0.18031488
corrosion,0.58664216,0.98818916,0.52735907,0.93570165,0.23786765,0.34843522,0.23336397,0.34380623,0.90902753,0.87555903,0.90773823,0.87539606,0.4130641,0.40273883,0.41110116,0.4023661,0.97359688,0.95563686,0.97624245,0.95799547,0.17062195,0.16219856,0.16900416,0.16189848
corrosion,3.52847733,3.50702038,3.51185662,3.60496732,1.43319547,1.43747789,1.42598039,1.45603998,0.47293139,0.46991366,0.47560822,0.46679786,0.19225964,0.19176028,0.19249867,0.19145168,0.25060471,0.25550807,0.25489516,0.2347523,0.03696377,0.036772,0.03705574,0.03665375
corrosion,2.24811581,3.05342561,1.75729167,3.23457132,1.01374081,1.24098424,0.86672794,1.27547866,0.60219736,0.53565226,0.64474981,0.52878731,0.1481971,0.13432227,0.15757354,0.13300555,0.87472569,0.82995487,0.90213343,0.81986412,0.02196238,0.01804247,0.02482942,0.01769048
corrosion,4.67648591,6.30543637,5.91179534,6.11915417,0.97624081,1.23301807,1.17815564,1.20891965,0.74088365,0.68973914,0.69932348,0.69306096,0.21776355,0.20201068,0.20490046,0.20296596,0.88558323,0.84608439,0.85576239,0.85062412,0.04742096,0.04080831,0.0419842,0.04119518
corrosion,2.05807292,2.92958093,1.64025735,2.97520953,0.63524816,0.78705113,0.52843137,0.79613995,0.77351298,0.73753009,0.80423147,0.73545938,0.20420255,0.19190091,0.21286646,0.19151939,0.93081004,0.90154542,0.94490545,0.89996517,0.04169868,0.03682596,0.04531213,0.03667968
corrosion,1.40392157,2.29251826,1.67654718,2.32971934,0.79534314,1.08867359,0.87287071,1.09431757,0.65996141,0.56703003,0.63813743,0.56648051,0.21556331,0.18968575,0.20878604,0.1896037,0.7580829,0.60531946,0.71106315,0.59892989,0.04646754,0.03598068,0.04359161,0.03594956
corrosion,1.06136642,1.95912341,1.47470895,2.24678201,0.49264706,0.70843522,0.55776654,0.75935409,0.80168315,0.73819227,0.78809687,0.72969434,0.20190339,0.18194084,0.19660372,0.18058124,0.96997505,0.94458472,0.95840007,0.93644962,0.04076498,0.03310247,0.03865302,0.03260958
corrosion,0.63656556,1.11627835,0.75102635,1.09719339,0.26803002,0.45354864,0.37054228,0.45254902,0.8894756,0.81798429,0.84347151,0.81787491,0.27388915,0.25169141,0.25797517,0.25206518,0.98606417,0.97558861,0.98358452,0.97601243,0.07501527,0.06334857,0.06655119,0.06353686
corrosion,0.74928002,2.13471742,1.44001225,1.74300654,0.38959865,0.82897347,0.66871936,0.77171857,0.83342862,0.68780703,0.7304088,0.69373176,0.20770809,0.16222335,0.17329492,0.16343353,0.96982224,0.91400143,0.94196359,0.92978997,0.04314265,0.02631641,0.03003113,0.02671052
corrosion,1.28216912,2.21980777,1.47054228,2.33971549,0.66099877,0.93857747,0.69431679,0.96784314,0.72432245,0.6385171,0.71885503,0.63123235,0.19292311,0.16699469,0.19068368,0.16513335,0.91151383,0.84692407,0.89851715,0.83864081,0.03721933,0.02788723,0.03636027,0.02726902
corrosion,1.48200061,2.1820223,1.97052696,2.96095348,0.5238511,0.66614379,0.62405025,0.76659746,0.7947614,0.74606121,0.76326811,0.73277989,0.21483631,0.19540823,0.20341295,0.19329877,0.95713445,0.93683549,0.94299513,0.91429113,0.04615464,0.03818438,0.04137683,0.03736441
corrosion,1.45836397,2.58740484,1.83394608,2.94437524,0.62248775,0.87849289,0.63988971,0.90522107,0.75259024,0.68068914,0.75853378,0.67820113,0.16470693,0.14715466,0.16732388,0.14692385,0.9644206,0.93693358,0.9553005,0.92823194,0.02712837,0.02165449,0.02799728,0.02158662
